title;price;square_meters;price_per_m2;location;link;first_photo;processing_date;bathrooms;rooms
Oportunidad! Lote De 1245m2. Quincho Y Servicios;90000.0;1245;72.28915662650603;Fray Luis Beltrán 1060, Monte Gran...;https://terreno.mercadolibre.com.ar/MLA-1528021048-oportunidad-lote-de-1245m2-quincho-y-servicios-_JM#position=41&search_layout=grid&type=item&tracking_id=de87ff7f-e3d9-47a1-bc9b-a9f699d42acd;https://http2.mlstatic.com/D_NQ_NP_879112-MLA46729131739_072021-W.jpg;2023-10-19;;
Terreno - Monte Grande - Fernando De Toro Al 1200;79950.0;1080;74.02777777777777;Fernando De Toro Al 1200, Monte Gr...;https://terreno.mercadolibre.com.ar/MLA-1437460704-terreno-monte-grande-fernando-de-toro-al-1200-_JM#position=46&search_layout=grid&type=item&tracking_id=67367561-6d7f-4563-96ab-57ecf12b33ea;https://http2.mlstatic.com/D_NQ_NP_673440-MLA71839128922_092023-W.jpg;2023-10-19;;
Lote Con Excelente Ubicacion;40000.0;529;75.61436672967864;Alvear 1632, Monte Grande, Esteban...;https://terreno.mercadolibre.com.ar/MLA-935718132-lote-con-excelente-ubicacion-_JM#position=6&search_layout=grid&type=item&tracking_id=c165c15f-9b89-4557-aa83-c463359173f8;https://http2.mlstatic.com/D_NQ_NP_781624-MLA29587138885_032019-W.jpg;2023-10-19;;
Casa Quinta En Venta- Isla Trinidad Al 200, Monte Grande;300000.0;3850;77.92207792207792;Isla Trinidad Al 200, Monte Grande...;https://casa.mercadolibre.com.ar/MLA-1125947325-casa-quinta-en-venta-isla-trinidad-al-200-monte-grande-_JM#position=29&search_layout=grid&type=item&tracking_id=a0f37ccb-6657-4fb1-b822-34bdb647ee84;https://http2.mlstatic.com/D_NQ_NP_744916-MLA49273512675_032022-W.jpg;2023-10-19;2 baños;
Terreno - Monte Grande - Fernando De Toro Al 1200;85000.0;1080;78.70370370370371;Fernando De Toro Al 1200, Monte Gr...;https://terreno.mercadolibre.com.ar/MLA-1120252127-terreno-monte-grande-fernando-de-toro-al-1200-_JM#position=36&search_layout=grid&type=item&tracking_id=67367561-6d7f-4563-96ab-57ecf12b33ea;https://http2.mlstatic.com/D_NQ_NP_973728-MLA52931970637_122022-W.jpg;2023-10-19;;
Terreno - Canning Village;55000.0;687;80.05822416302766;Ruta 52 A Al 1000, Monte Grande, E...;https://terreno.mercadolibre.com.ar/MLA-1315118001-terreno-canning-village-_JM#position=36&search_layout=grid&type=item&tracking_id=dcbad6c3-5469-47c4-a943-66c465431961;https://http2.mlstatic.com/D_NQ_NP_706085-MLA53364797563_012023-W.jpg;2023-10-19;;
Lote En Venta En Venta En Monte Grande;35000.0;430;81.3953488372093;Leopoldo Liñan 1353, Monte Grande,...;https://terreno.mercadolibre.com.ar/MLA-1249816062-lote-en-venta-en-venta-en-monte-grande-_JM#position=28&search_layout=grid&type=item&tracking_id=54121434-8fc5-47b7-9a0f-5d7d4b44f558;https://http2.mlstatic.com/D_NQ_NP_636554-MLA72060998759_102023-W.jpg;2023-10-19;;
Venta Lote Canning, E.echeverria 300 M2  Escritura;25000.0;300;83.33333333333333;Republica De Cuba 0, Monte Grande,...;https://terreno.mercadolibre.com.ar/MLA-1390215217-venta-lote-canning-eecheverria-300-m2-escritura-_JM#position=2&search_layout=grid&type=item&tracking_id=6e857e44-0342-48e6-aa75-dc59dac96669;https://http2.mlstatic.com/D_NQ_NP_920318-MLA71976815449_092023-W.jpg;2023-10-19;;
Venta - Lote De 2138 M2 Con Casa Antigua Refaccionada;180000.0;2138;84.19083255378858;Queirel 650, Monte Grande, Esteban...;https://terreno.mercadolibre.com.ar/MLA-822393349-venta-lote-de-2138-m2-con-casa-antigua-refaccionada-_JM#position=37&search_layout=grid&type=item&tracking_id=36b82243-b302-4da7-89d5-a97e8cc4ad74;https://http2.mlstatic.com/D_NQ_NP_987473-MLA32699877060_102019-W.jpg;2023-10-19;;
Venta De Lote Terreno Barrio Santa Ins;68000.0;804;84.57711442786069;Juana De Arco 7100, Monte Grande, ...;https://terreno.mercadolibre.com.ar/MLA-1470672586-venta-de-lote-terreno-barrio-santa-ins-_JM#position=1&search_layout=grid&type=item&tracking_id=54121434-8fc5-47b7-9a0f-5d7d4b44f558;https://http2.mlstatic.com/D_NQ_NP_953587-MLA70996514462_082023-W.jpg;2023-10-19;;
